사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-01,2호선,29,삼성(무역센터),121,0,3637,4276,5395,30018,11858,101072,15965,255575,15575,175480,16247,71261,23205,49704,28470,44924,36225,50856,45684,44369,58856,40072,73902,35609,142313,36123,227196,38660,120362,21491,104334,11783,84363,13282,21730,4397,4351,2178,1,952,0,0,0,0,0,0
2021-01,2호선,30,선릉,30,1,2881,5556,8540,31307,16420,95646,23955,231198,22164,179864,23902,75181,31827,51884,37315,42671,44823,47993,54961,43025,70473,38804,99754,36458,148380,35315,234548,38405,119417,24059,83214,15390,95614,17917,27077,6860,7135,3436,8,121,0,0,0,0,0,0
2021-01,2호선,31,역삼,36,0,2930,6797,7065,39130,11073,105499,19280,267827,18175,218403,17670,82553,23486,47845,29523,42686,34465,47106,42617,41421,57015,35452,78171,32417,153897,34113,232035,36284,120772,24297,76207,16103,78781,17978,27040,7635,7045,3606,8,41,0,0,0,0,0,0
2021-01,2호선,32,강남,110,3,5034,10478,13743,40055,29652,120313,46525,260062,37172,253781,37419,121344,51439,85029,65397,81066,74938,96581,86107,91218,111104,84557,125759,83160,190350,93494,278385,107650,177478,60270,159575,31438,189419,34814,43747,13090,11496,6586,10,90,0,0,0,0,0,0
2021-01,2호선,33,교대(법원.검찰청),16,0,1831,6304,10190,22249,18684,43921,27004,132412,21432,114162,20350,57466,24357,41539,27771,37404,32984,43811,39325,40027,44520,36371,50526,35547,81945,40261,122747,47092,56682,29898,47941,17716,56347,20865,14777,7216,4504,3666,12,54,0,0,0,0,0,0
2021-01,2호선,34,서초,22,1,1077,4015,5922,16061,10989,35680,18161,98628,17441,70628,13348,29020,15706,18992,16001,16007,19093,19280,22593,17534,28163,15678,31681,15386,55588,16515,85208,16865,35468,11841,25187,8279,25887,9859,9722,3500,2471,1585,4,17,0,0,0,0,0,0
2021-01,2호선,35,방배,3,0,2120,2803,7776,12777,17787,23548,25560,59160,20090,40045,13888,17914,13843,13443,15147,14621,18110,16517,17759,16278,19383,16337,25724,17591,35334,22857,55232,30687,23585,22462,17724,14899,19974,19435,6417,6969,2076,3313,1,39,0,1,0,0,0,0
2021-01,2호선,36,사당,241,6,10062,2787,20452,23575,56743,31462,80653,52433,56143,39065,34321,30985,31567,31577,35449,33583,37127,35496,36995,36945,38010,44770,42071,59181,53076,78640,71777,112363,47610,79285,48165,48828,53571,60327,15943,23811,4948,10872,24,730,0,0,0,0,0,0
2021-01,2호선,37,낙성대(강감찬),59,15,9693,1544,21070,6964,61348,13594,102281,30386,64900,24299,32575,19030,27249,17580,29807,21592,30024,23206,27836,25093,28141,30182,29926,34405,35411,49421,37741,82941,21494,74232,18214,48597,17779,57373,9620,26367,3109,11097,4,706,0,0,0,0,0,0
2021-01,2호선,38,서울대입구(관악구청),3494,10,24038,2018,34462,10730,99513,22507,150221,49643,95946,48221,49820,38708,44674,36173,48491,39914,51073,44312,49709,47128,51595,54399,56225,62790,61200,85583,68282,143792,42141,122115,41907,72811,45317,87115,17231,39436,5752,17177,3,3561,0,0,0,0,0,0
